"V1","V2","V3","V4"
-0.862525229595922,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.862525229595922,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.862525229595922,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.862525229595922,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.862525229595922,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.862525229595922,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
NA,-0.420218725048068,-0.149055947701065,-0.0634279476813711
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.0634279476813711
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,NA,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
NA,-0.420218725048068,-0.149055947701065,-0.358034073096144
NA,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.136188194146725,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.136188194146725,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.136188194146725,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.136188194146725,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.136188194146725,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.136188194146725,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.136188194146725,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.136188194146725,-0.420218725048068,-0.149055947701065,1.70420880480726
-0.136188194146725,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.136188194146725,-0.420218725048068,NA,-0.358034073096144
-0.136188194146725,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.136188194146725,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.136188194146725,-0.420218725048068,-0.149055947701065,-0.358034073096144
-0.136188194146725,-0.420218725048068,-0.149055947701065,NA
-0.136188194146725,NA,-0.149055947701065,-0.358034073096144
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,-0.897926656780229,NA,-0.947246323925689
-0.862525229595922,-0.897926656780229,NA,-0.947246323925689
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,-0.897926656780229,-1.11428409683843,-0.947246323925689
-0.862525229595922,NA,NA,-0.947246323925689
0.226980323577874,-0.420218725048068,-0.149055947701065,1.70420880480726
0.226980323577874,0.0574892066840929,0.172686768678056,1.70420880480726
-0.136188194146725,0.0574892066840929,1.78140035057366,1.70420880480726
-0.136188194146725,0.0574892066840929,1.78140035057366,1.70420880480726
-0.136188194146725,0.0574892066840929,0.172686768678056,1.70420880480726
-0.136188194146725,0.0574892066840929,0.172686768678056,1.70420880480726
-0.136188194146725,0.0574892066840929,0.172686768678056,1.70420880480726
-0.136188194146725,0.0574892066840929,0.172686768678056,1.70420880480726
-0.136188194146725,0.0574892066840929,0.172686768678056,1.70420880480726
-0.136188194146725,0.0574892066840929,0.172686768678056,1.70420880480726
-0.136188194146725,0.0574892066840929,NA,-0.0634279476813711
-0.136188194146725,0.0574892066840929,0.172686768678056,-0.0634279476813711
-0.136188194146725,0.0574892066840929,0.172686768678056,-0.0634279476813711
-0.136188194146725,0.0574892066840929,0.172686768678056,-0.0634279476813711
-0.136188194146725,0.0574892066840929,0.172686768678056,-0.0634279476813711
-0.136188194146725,0.0574892066840929,0.172686768678056,-0.0634279476813711
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.0634279476813711
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.0634279476813711
-0.136188194146725,0.0574892066840929,0.172686768678056,-0.0634279476813711
-0.862525229595922,-0.420218725048068,-0.149055947701065,-0.0634279476813711
1.67965439447627,0.0574892066840929,0.172686768678056,-0.0634279476813711
1.67965439447627,0.0574892066840929,0.172686768678056,-0.0634279476813711
0.226980323577874,0.0574892066840929,0.172686768678056,-0.0634279476813711
0.226980323577874,0.0574892066840929,0.172686768678056,-0.0634279476813711
